Time (ns),spi_master_tb.dut.clk_counter
17610000,b1110010
17630000,b1110011
17650000,b1110100
17670000,b1110101
17690000,b1110110
17710000,b1110111
17730000,b1111000
17750000,b1111001
17770000,b1111010
17790000,b1111011
17810000,b1111100
17830000,b1111101
17850000,b1111110
17870000,b1111111
17890000,b10000000
17910000,b10000001
17930000,b10000010
17950000,b10000011
17970000,b10000100
17990000,b10000101
18010000,b10000110
18030000,b10000111
18050000,b10001000
18070000,b10001001
18090000,b10001010
18110000,b10001011
18130000,b10001100
18150000,b10001101
18170000,b10001110
18190000,b10001111
18210000,b10010000
18230000,b10010001
18250000,b10010010
18270000,b10010011
18290000,b10010100
18310000,b10010101
18330000,b10010110
18350000,b10010111
18370000,b10011000
18390000,b10011001
18410000,b10011010
18430000,b10011011
18450000,b10011100
18470000,b10011101
18490000,b10011110
18510000,b10011111
18530000,b10100000
18550000,b10100001
18570000,b10100010
18590000,b10100011
18610000,b10100100
18630000,b10100101
18650000,b10100110
18670000,b10100111
18690000,b10101000
18710000,b10101001
18730000,b10101010
18750000,b10101011
18770000,b10101100
18790000,b10101101
18810000,b10101110
18830000,b10101111
18850000,b10110000
18870000,b10110001
18890000,b10110010
18910000,b10110011
18930000,b10110100
18950000,b10110101
18970000,b10110110
18990000,b10110111
19010000,b10111000
19030000,b10111001
19050000,b10111010
19070000,b10111011
19090000,b10111100
19110000,b10111101
19130000,b10111110
19150000,b10111111
19170000,b11000000
19190000,b11000001
19210000,b11000010
19230000,b11000011
19250000,b11000100
19270000,b11000101
19290000,b11000110
19310000,b11000111
19330000,b11001000
19350000,b11001001
19370000,b11001010
19390000,b11001011
19410000,b11001100
19430000,b11001101
19450000,b11001110
19470000,b11001111
19490000,b11010000
19510000,b11010001
19530000,b11010010
19550000,b11010011
19570000,b11010100
19590000,b11010101
19610000,b11010110
19630000,b11010111
19650000,b11011000
19670000,b11011001
19690000,b11011010
19710000,b11011011
19730000,b11011100
19750000,b11011101
19770000,b11011110
19790000,b11011111
19810000,b11100000
19830000,b11100001
19850000,b11100010
19870000,b11100011
19890000,b11100100
19910000,b11100101
19930000,b11100110
19950000,b11100111
19970000,b11101000
19990000,b11101001
20010000,b11101010
20030000,b11101011
20050000,b11101100
20070000,b11101101
20090000,b11101110
20110000,b11101111
20130000,b11110000
20150000,b11110001
20170000,b11110010
20190000,b11110011
20210000,b11110100
20230000,b11110101
20250000,b11110110
20270000,b11110111
20290000,b11111000
20310000,b11111001
20330000,b0
20350000,b1
20370000,b10
20390000,b11
20410000,b100
20430000,b101
20450000,b110
20470000,b111
20490000,b1000
20510000,b1001
20530000,b1010
20550000,b1011
20570000,b1100
20590000,b1101
20610000,b1110
20630000,b1111
20650000,b10000
20670000,b10001
20690000,b10010
20710000,b10011
20730000,b10100
20750000,b10101
20770000,b10110
20790000,b10111
20810000,b11000
20830000,b11001
20850000,b11010
20870000,b11011
20890000,b11100
20910000,b11101
20930000,b11110
20950000,b11111
20970000,b100000
20990000,b100001
21010000,b100010
21030000,b100011
21050000,b100100
21070000,b100101
21090000,b100110
21110000,b100111
21130000,b101000
21150000,b101001
21170000,b101010
21190000,b101011
21210000,b101100
21230000,b101101
21250000,b101110
21270000,b101111
21290000,b110000
21310000,b110001
21330000,b110010
21350000,b110011
21370000,b110100
21390000,b110101
21410000,b110110
21430000,b110111
21450000,b111000
21470000,b111001
21490000,b111010
21510000,b111011
21530000,b111100
21550000,b111101
21570000,b111110
21590000,b111111
21610000,b1000000
21630000,b1000001
21650000,b1000010
21670000,b1000011
21690000,b1000100
21710000,b1000101
21730000,b1000110
21750000,b1000111
21770000,b1001000
21790000,b1001001
21810000,b1001010
21830000,b1001011
21850000,b1001100
21870000,b1001101
21890000,b1001110
21910000,b1001111
21930000,b1010000
21950000,b1010001
21970000,b1010010
21990000,b1010011
22010000,b1010100
22030000,b1010101
22050000,b1010110
22070000,b1010111
22090000,b1011000
22110000,b1011001
22130000,b1011010
22150000,b1011011
22170000,b1011100
22190000,b1011101
22210000,b1011110
22230000,b1011111
22250000,b1100000
22270000,b1100001
22290000,b1100010
22310000,b1100011
22330000,b1100100
22350000,b1100101
22370000,b1100110
22390000,b1100111
22410000,b1101000
22430000,b1101001
22450000,b1101010
22470000,b1101011
22490000,b1101100
22510000,b1101101
22530000,b1101110
22550000,b1101111
22570000,b1110000
22590000,b1110001
22610000,b1110010
22630000,b1110011
22650000,b1110100
22670000,b1110101
22690000,b1110110
22710000,b1110111
22730000,b1111000
22750000,b1111001
22770000,b1111010
